-4.922,-7.802,8.261,-6.843
-8.366,0.498,-8.174,-3.955
-4.497,8.645,7.220,8.843
-4.867,8.929,5.087,9.587
-4.002,8.811,6.074,9.684
-4.977,-6.947,7.947,-9.808
-2.815,7.792,6.172,7.676
-9.095,0.775,-8.832,-3.797
-4.447,-8.355,7.942,-8.029
-7.527,0.885,-9.377,-4.820
-5.828,-9.088,6.843,-8.420
-10.377,-0.848,-5.133,-1.559
-4.796,-7.212,7.760,-9.391
-5.545,-8.119,7.621,-6.299
-4.851,8.461,4.471,11.272
-9.835,2.006,-9.350,-2.575
-2.301,8.727,5.272,9.528
-4.578,-8.058,6.530,-9.224
-4.938,9.990,5.164,10.500
-4.663,9.674,4.189,10.495
-4.902,9.753,6.043,7.608
-7.412,1.528,-8.324,-4.146
-4.608,9.191,4.126,7.317
-8.643,0.173,-6.711,-3.618
-9.705,2.617,-8.093,-1.920
-7.007,-0.447,-7.340,-2.638
-9.731,1.065,-8.441,-1.111
-5.162,8.655,3.431,7.398
-5.724,9.134,5.519,10.414
-7.230,1.244,-7.187,-3.245
-6.999,1.559,-8.281,-2.233
-4.965,8.572,4.876,9.730
-4.973,10.431,6.807,9.114
-3.595,10.221,5.587,10.006
-9.189,1.847,-6.529,-4.438
-6.650,-6.592,7.140,-8.764
-1.378,8.252,6.550,9.371
-7.855,0.880,-8.244,-2.370
-7.385,-0.079,-7.036,-3.086
-5.387,-6.683,8.648,-8.810
-5.364,8.087,5.421,9.648
-8.592,0.821,-8.082,-2.937
-7.930,2.441,-8.988,-4.161
-6.380,-9.016,7.175,-9.041
-6.857,-6.270,8.791,-8.903
-5.719,-7.612,10.131,-8.361
-5.046,9.202,6.018,9.474
-5.020,9.105,4.708,10.159
-9.348,-1.062,-7.498,-1.915
-4.311,-8.426,9.101,-8.498
-4.529,-6.495,6.593,-7.807
-5.458,-7.391,7.025,-6.918
-5.005,-7.857,6.664,-10.671
-3.892,9.731,3.980,7.907
-5.123,-7.390,8.323,-8.208
-6.277,9.377,5.066,9.286
-3.276,7.633,4.841,9.301
-7.470,-0.356,-8.496,-0.336
-8.471,-1.623,-8.592,-2.890
-10.178,0.301,-7.622,-1.100
-4.595,7.455,5.995,9.219
-10.258,-1.694,-6.253,-2.589
-5.875,-6.605,7.100,-8.587
-7.966,2.301,-7.373,-2.783
-7.199,2.376,-9.422,-3.649
-3.079,8.821,3.648,9.789
-8.290,2.694,-9.222,-2.946
-6.325,-7.912,7.471,-7.164
-6.518,-5.856,7.437,-7.546
-8.377,0.439,-9.857,-1.609
-9.181,1.641,-9.441,-1.389
-6.083,-6.864,8.631,-9.177
-8.560,1.798,-7.133,-1.967
-9.729,1.678,-7.128,-3.050
-4.954,10.752,4.959,9.217
-9.086,1.156,-9.083,-3.854
-8.750,2.286,-7.416,-3.367
-3.991,9.031,4.423,8.819
-7.103,-6.957,6.192,-9.408
-5.885,9.226,6.813,7.907
-8.795,-0.063,-9.262,-1.957
-4.648,7.947,5.170,10.999
-5.056,11.011,4.701,9.651
-4.696,8.942,5.388,8.547
-5.216,-7.991,9.359,-7.816
-5.917,-7.135,10.060,-8.090
-5.370,-9.232,8.082,-6.885
-4.015,11.453,5.028,9.616
-5.834,11.575,5.637,9.995
-3.762,9.849,6.507,9.645
-7.117,-8.876,8.236,-9.617
-6.008,-6.745,8.584,-9.770
-5.582,-5.827,9.730,-7.417
-6.457,-6.735,8.827,-9.013
-7.932,-6.793,8.210,-7.560
-6.541,-7.987,7.642,-8.259
-6.181,-6.006,10.218,-8.997
-9.666,0.951,-8.387,-2.657
-5.589,-7.600,8.117,-7.421
-4.170,10.047,4.722,12.305
