-5.150,7.660,4.233,9.817,-6.012,-7.567,7.472,-7.651
1.526,-5.124,-4.396,11.210,-7.378,-5.406,5.408,-3.506
-6.510,1.230,-7.236,0.405,2.796,-1.657,-9.595,-5.354
-7.372,-0.661,-3.231,-4.728,-11.062,0.112,3.920,-3.116
-2.314,-7.471,-3.583,9.051,-5.007,-2.822,-2.275,6.059
-1.724,2.991,-9.600,-5.390,-0.360,-10.159,-8.665,-9.590
-3.922,9.864,7.660,6.604,-0.621,6.907,-3.934,-8.088
-8.557,-1.695,-2.994,-4.666,-9.038,1.736,3.303,-1.857
0.837,-3.429,-2.645,9.290,-4.049,-5.138,4.700,-2.939
0.951,-4.648,-3.830,9.615,-5.900,-4.220,4.052,-2.538
-3.221,-9.132,-1.888,9.775,-4.870,-3.327,-1.164,5.806
-3.799,8.979,6.931,8.573,-4.903,-7.133,7.624,-10.381
-2.229,6.539,7.596,3.660,-0.759,8.215,-3.503,-6.610
-0.292,2.534,-9.063,-6.755,3.033,-9.010,-10.122,-8.690
-2.884,6.748,7.853,4.345,-0.372,9.107,-1.914,-7.897
-4.515,10.424,5.077,9.766,-7.117,-9.682,9.170,-10.156
-6.191,-0.098,-5.574,-1.300,-9.117,1.635,3.046,-0.004
-7.155,0.760,-10.174,-0.915,4.859,-1.224,-6.902,-5.394
-2.783,7.994,6.998,4.428,0.672,9.022,-3.624,-6.967
-3.077,-11.436,-5.437,8.199,-5.908,-4.867,-3.336,8.403
-7.406,0.866,-3.100,-4.516,-9.343,1.363,5.997,-0.919
-4.210,8.172,6.120,9.609,-5.681,-6.842,9.208,-8.577
-9.601,0.936,-5.167,-1.064,3.648,-0.849,-8.967,-6.385
-1.477,4.077,-8.282,-4.500,-0.126,-9.339,-9.727,-9.721
-0.229,-9.318,-2.853,7.882,-5.108,-4.490,-0.220,6.767
-7.100,0.871,-2.945,-4.858,-10.016,0.161,3.018,-2.947
-7.499,0.455,-5.005,-2.820,-11.874,2.665,4.552,-3.064
1.633,-5.777,-3.900,9.010,-7.175,-5.808,3.190,-3.192
-8.118,-0.081,-6.727,-1.576,3.093,-2.906,-8.824,-5.094
-3.473,7.802,6.218,2.005,-0.391,9.056,-3.791,-7.654
-3.813,9.058,7.783,4.856,0.799,5.611,-5.301,-8.445
-3.018,9.515,7.429,5.879,-0.950,7.213,-5.444,-7.488
-5.218,-0.119,-5.254,-3.714,-8.297,3.021,4.494,-1.352
1.865,-4.938,-2.252,10.164,-6.313,-4.753,3.212,-1.829
-0.607,-8.100,-3.682,9.360,-3.937,-3.553,-3.094,7.147
0.220,-6.776,-3.563,7.315,-7.183,-4.142,3.359,-1.939
-1.131,3.881,-7.144,-6.201,1.018,-7.484,-9.697,-9.158
-5.444,6.694,5.534,9.365,-5.798,-8.864,9.249,-7.971
