-2.477,6.320,6.675,4.226,-2.245,-2.880
5.362,-0.279,-5.546,-4.231,4.918,-1.683
0.183,-8.586,-6.768,-8.790,-4.379,6.442
-1.466,4.716,1.441,1.711,-2.673,-9.697
3.159,-2.560,-0.499,4.021,-9.323,-6.478
4.790,-0.582,-8.183,-5.733,5.079,-2.626
-3.848,7.858,-5.404,-5.837,-1.762,8.682
-0.181,3.275,2.323,2.265,-3.376,-8.095
2.056,-1.329,-9.205,-6.768,0.379,-8.063
1.232,-9.957,-2.458,-0.848,-3.518,2.124
3.641,-2.731,-7.550,-7.745,3.954,-3.124
-4.344,9.995,-4.276,-4.276,-1.712,6.461
8.146,-7.236,-9.423,1.516,-7.021,-2.440
3.723,-1.440,-7.031,-6.845,3.768,-3.188
-0.326,3.074,2.630,0.200,-4.146,-10.200
0.618,-0.379,7.378,6.038,-8.457,-2.341
-1.643,2.852,3.497,-0.717,-3.889,-8.097
1.311,-0.597,8.790,7.005,-8.003,-1.506
1.885,-0.575,-5.661,-7.533,4.266,-3.143
3.857,-0.645,-9.304,-6.163,-1.161,-9.373
3.812,-1.636,-9.572,-5.022,-0.023,-7.798
1.791,-1.318,8.024,8.382,-8.823,-4.993
1.351,1.153,6.657,8.347,-8.366,-4.314
1.115,-7.665,-8.502,-8.464,-3.738,9.550
7.710,-8.185,-8.982,1.328,-6.650,-3.143
-2.775,11.267,4.052,9.448,-5.500,-6.807
4.050,-3.331,-1.073,2.955,-7.431,-5.251
-5.310,9.105,-4.629,-5.270,-3.341,6.885
-4.022,9.788,-4.588,-3.438,-1.145,7.839
-6.898,-1.021,-3.608,-3.816,-10.515,1.603
0.513,-4.336,-4.256,8.833,-7.420,-6.316
-0.655,6.138,7.264,5.083,-1.692,-0.921
7.957,-11.399,-8.241,-0.339,-9.290,-3.266
4.217,-4.044,-1.627,2.886,-9.146,-4.870
1.039,-9.024,-8.040,-8.036,-4.968,7.963
-1.803,3.880,4.052,0.424,-3.025,-8.351
7.866,-8.185,-9.498,-1.308,-9.534,-1.455
-1.600,4.269,7.080,5.269,-2.165,-2.223
1.194,-0.818,6.657,6.749,-9.029,-3.051
0.853,-10.042,-0.267,-0.339,-2.824,1.723
1.420,-7.820,-7.354,-8.871,-3.817,7.074
4.369,-4.043,0.975,4.397,-8.811,-4.876
2.411,-2.770,-11.166,-5.451,0.147,-8.403
-6.575,-1.667,-1.655,-3.522,-10.748,1.025
3.617,-2.752,-8.868,-8.075,-0.448,-7.928
3.312,-0.550,-6.931,-7.472,6.841,-3.532
0.930,-3.007,5.714,6.872,-6.322,-3.016
-5.760,1.123,-4.443,-2.218,-10.300,2.031
1.074,-8.305,-1.966,-0.325,-4.165,1.555
-9.563,6.041,-5.630,-1.363,6.720,-1.703
-2.698,4.209,7.567,4.917,-1.860,-0.444
-2.894,8.933,-5.482,-5.711,-2.718,4.371
5.540,-3.376,-1.569,3.770,-7.576,-6.333
-0.310,-4.209,-1.882,10.429,-5.937,-4.605
0.152,-9.268,-7.665,-8.401,-3.579,8.186
-9.712,5.025,-4.374,-2.057,5.750,-3.344
-3.672,8.101,-5.054,-4.170,-2.305,7.675
4.409,-3.139,-5.295,-5.541,5.202,-4.000
-7.858,-0.349,-4.444,-2.244,-10.209,1.972
4.088,-1.669,-10.358,-5.383,0.954,-10.026
-8.792,0.080,-3.595,-4.183,-12.046,1.940
2.209,-0.139,6.409,6.769,-7.697,-3.884
-8.539,0.765,-5.473,-1.520,-9.872,2.234
7.777,-7.657,-7.667,0.320,-7.702,-2.578
6.249,4.725,0.044,7.102,-5.936,-9.867
7.797,5.890,-1.028,6.182,-5.247,-8.875
2.334,-0.590,-8.360,-7.682,-1.318,-8.142
-4.386,5.921,8.678,4.940,-2.946,-1.936
-1.950,-5.127,-2.408,10.889,-5.327,-3.332
7.872,4.458,-1.831,7.554,-4.893,-8.943
-0.781,-5.393,-1.540,10.587,-6.343,-6.289
-1.619,5.675,6.074,5.574,-0.772,-1.588
-5.346,8.845,-3.755,-5.429,-2.496,7.785
1.460,-0.777,7.068,6.074,-8.394,-4.075
1.846,-9.609,-0.323,-0.934,-3.327,2.880
0.235,-4.293,-1.748,9.539,-6.994,-4.851
5.525,-3.851,-7.066,-6.340,3.166,-2.805
-3.083,8.171,4.642,9.894,-4.201,-7.014
0.637,-9.916,-1.991,-0.892,-2.771,3.040
6.046,6.314,0.089,6.597,-4.161,-8.209
0.146,-4.818,-4.829,11.749,-5.429,-5.486
-9.440,6.489,-7.891,-1.604,6.634,-2.123
2.940,-1.180,-10.062,-8.131,-3.219,-8.264
6.302,5.599,-0.118,5.854,-3.015,-9.264
-0.656,-3.926,-4.435,9.986,-7.070,-4.941
-7.979,6.776,-6.870,-2.997,6.759,-0.017
6.340,-9.026,-7.070,0.454,-8.266,-2.085
-5.031,-1.043,-3.968,-3.856,-10.146,2.479
4.346,-2.801,-1.551,4.136,-7.657,-4.075
-1.489,4.985,8.095,6.101,-0.532,-3.895
0.927,-0.664,7.570,4.903,-8.211,-5.244
-0.472,-11.176,-1.402,-0.410,-4.789,1.990
2.857,-1.107,-7.080,-7.246,-0.908,-8.804
1.220,-1.308,6.520,7.252,-8.254,-4.681
7.777,4.375,-0.038,8.859,-4.045,-7.914
5.288,-2.811,-5.160,-4.851,5.513,-1.713
3.902,-1.692,-9.933,-6.769,-0.800,-8.501
1.963,-2.144,0.523,4.396,-8.528,-4.966
3.332,-1.118,-9.958,-6.579,-1.113,-9.105
2.576,-2.651,1.963,3.483,-7.702,-5.974
2.804,-0.240,-1.663,3.538,-9.704,-7.080
-1.404,4.439,3.984,-0.179,-3.419,-9.432
4.793,-0.318,-8.087,-6.362,6.350,-2.625
-8.098,2.940,-6.983,0.268,7.163,-1.068
-8.998,5.061,-6.919,-3.295,8.064,-2.457
5.237,-0.249,-6.784,-6.149,4.225,-3.699
-1.651,5.370,7.949,5.379,-0.834,0.111
3.562,-2.550,-8.656,-6.154,-0.730,-9.341
0.785,-10.039,-1.090,-0.545,-3.891,2.939
0.406,3.408,2.877,1.404,-4.301,-8.983
-7.000,0.559,-3.104,-2.962,-9.914,0.550
2.630,-0.005,6.390,6.611,-8.587,-3.825
-0.484,3.713,1.053,1.611,-4.532,-9.051
2.324,-2.143,-10.185,-4.155,-0.979,-8.847
-4.174,9.213,-4.424,-3.698,-1.610,6.252
7.486,-8.319,-8.562,0.988,-7.903,-2.267
2.790,-10.785,-0.139,-2.574,-5.100,2.712
9.491,-8.379,-9.347,2.374,-8.662,-1.988
3.696,-1.381,-6.598,-6.412,5.925,-2.561
-1.325,4.047,4.163,0.099,-2.875,-9.808
-1.718,-3.735,-4.699,11.093,-5.305,-5.098
4.615,-2.927,-7.993,-4.923,-1.858,-8.759
-3.769,7.586,-5.761,-6.657,-1.863,6.080
3.657,-1.737,-7.706,-7.181,-2.402,-8.212
7.727,-7.161,-7.738,1.435,-8.940,-3.581
6.050,5.632,-0.446,7.640,-4.762,-8.698
-5.299,10.154,6.030,9.462,-5.216,-7.991
-6.487,-2.166,-2.851,-2.985,-9.730,1.076
-4.236,9.894,-4.859,-4.806,-0.179,5.628
0.200,-8.636,-7.003,-9.079,-3.654,7.149
3.084,-0.808,-0.310,3.979,-9.448,-4.868
1.276,-10.114,-3.493,-0.817,-3.063,4.218
-7.973,0.035,-3.323,-5.774,-7.756,0.845
-2.123,5.150,7.928,4.641,-1.672,-3.042
0.283,-9.955,-0.963,-0.321,-2.295,3.238
-0.893,-5.867,-3.626,8.738,-5.924,-5.734
0.741,-9.764,-9.306,-8.599,-4.015,9.234
-2.831,4.471,9.284,4.096,-3.101,-0.464
0.249,-10.035,-8.508,-7.055,-2.119,8.246
-3.916,9.566,4.993,11.411,-6.136,-7.649
2.247,-0.771,-6.647,-6.286,4.744,-2.635
5.043,-0.800,-6.354,-6.343,6.395,-4.005
7.406,-10.015,-6.639,-0.043,-7.090,-1.090
5.328,-1.400,-6.543,-5.270,5.022,-2.032
0.278,-8.060,-2.765,-0.639,-2.854,1.942
6.715,4.127,-1.167,8.176,-1.742,-6.480
-4.462,9.287,6.140,10.446,-5.429,-7.335
-8.915,3.622,-7.255,-3.510,8.628,-3.300
-7.227,-1.057,-4.721,-0.789,-10.676,2.074
5.972,4.973,-0.112,6.640,-4.259,-7.821
8.878,-9.360,-11.180,-0.298,-8.755,-4.739
0.860,-10.641,-0.888,-0.148,-4.008,2.591
4.174,-1.351,-8.801,-5.930,4.975,-2.384
2.250,-1.351,-10.618,-6.442,-1.145,-8.274
-6.969,5.755,-6.710,-2.380,6.403,-0.990
8.204,-6.173,-8.440,0.995,-6.636,-2.069
