1.657,2.740,1.489,0.656,-0.013,2.585,-1.201
-6.707,-8.498,-9.542,7.683,4.286,8.238,8.082
1.972,2.371,2.304,0.866,-1.666,2.727,-0.800
0.795,5.714,1.681,1.173,-2.488,3.295,-1.215
8.324,8.435,-1.950,4.844,1.596,1.702,7.261
8.482,8.909,-3.010,5.481,-0.163,0.686,8.379
6.843,9.047,-3.986,5.195,0.098,1.672,7.736
8.455,11.064,-2.160,4.109,0.739,0.502,8.306
-7.975,-7.785,-8.776,7.560,4.977,8.338,9.318
-7.606,-8.050,-8.496,7.592,6.170,7.402,8.582
7.528,8.907,-1.211,5.377,1.003,1.333,9.988
-7.654,-9.162,-7.752,8.178,4.118,7.777,9.502
-9.649,-8.467,-8.991,4.909,7.087,9.264,10.864
2.439,5.839,2.622,1.047,-2.605,4.313,0.539
0.407,4.479,1.593,-0.188,-0.887,2.532,-2.024
